epoch,total_loss,membership_loss,count_loss,count_accuracy,val_total_loss,val_membership_loss,val_count_loss,val_count_accuracy,learning_rate
1,0.358473454573679,0.25628744714510887,1.021860053392471,0.6932740995509697,,,,,0.0001
2,0.27134335017983297,0.203662777062051,0.6768057185530469,0.8479984713862616,,,,,9.98458666866564e-05
3,0.24027667196526778,0.19175600991317873,0.48520661072345156,0.8803382057896245,,,,,9.938441702975689e-05
4,0.215333304296333,0.18462081486007778,0.30712488785512787,0.9124390942963599,,,,,9.861849601988383e-05
5,0.2031457024265454,0.17951785416774835,0.23627847783677505,0.9271997707079392,,,,,9.755282581475767e-05
6,0.1947599934433426,0.17518829082883486,0.19571702497413987,0.9383777586701061,,,,,9.619397662556432e-05
7,0.1875485617468484,0.1706905214241791,0.1685803999195949,0.9451132129550014,,,,,9.455032620941837e-05
8,0.18048789901914256,0.16596019662382086,0.14527702111947657,0.9501767459635043,,,,,9.26320082177046e-05
9,0.17319643067814758,0.16093239974039406,0.12264030881235316,0.9555268940479602,,,,,9.045084971874737e-05
10,0.1670929363279114,0.15627640080028293,0.10816535518926519,0.9608292729530906,,,,,8.802029828000154e-05
11,0.1616803497756531,0.1518743738220291,0.09805975759903214,0.9632177319193657,,,,,8.535533905932737e-05
12,0.1561150433150588,0.1477010137952022,0.08414029563241773,0.968615649183147,,,,,8.247240241650918e-05
13,0.15176511185409758,0.14435169563157244,0.07413416150021085,0.9711474156873985,,,,,7.938926261462365e-05
14,0.14727553747878372,0.1407675112006748,0.0650802641257991,0.974252412343556,,,,,7.612492823579742e-05
15,0.14327838885655453,0.13762342552008028,0.05654963318554283,0.9782172542275723,,,,,7.269952498697731e-05
16,0.13972178470687516,0.1345337453414208,0.051880392823542704,0.9794114837107099,,,,,6.913417161825447e-05
17,0.135788205739499,0.13147120838880744,0.043169973357111695,0.9830897105187733,,,,,6.545084971874736e-05
18,0.1330976268262158,0.12894412975470385,0.041534970316602506,0.9840928632846088,,,,,6.167226819279526e-05
19,0.13025432911218265,0.12652798543957433,0.03726343650713309,0.9856214770230247,,,,,5.7821723252011525e-05
20,0.12731502525379565,0.1239335256586606,0.033814996448509646,0.9867201681475112,,,,,5.392295478639223e-05
21,0.12497519062864207,0.121824315814151,0.03150874763278399,0.9888697812171587,,,,,4.999999999999998e-05
22,0.12207812120104242,0.11934581905350002,0.02732302081241159,0.9901117798796216,,,,,4.607704521360774e-05
23,0.11975929108870523,0.1172138122588843,0.025454787976657303,0.9915926244387121,,,,,4.217827674798845e-05
24,0.11796938571440088,0.11551897538258374,0.024504101986112976,0.9913060093627591,,,,,3.832773180720472e-05
25,0.11610721174979535,0.11404537634122015,0.020618353701754986,0.9931690073564536,,,,,3.4549150281252616e-05
26,0.1144084104357174,0.11222501538371452,0.02183395072708939,0.9934556224324066,,,,,3.08658283817455e-05
27,0.11241399252142505,0.11058086053204648,0.01833132053114205,0.9943154676602656,,,,,2.730047501302265e-05
28,0.11106667249577656,0.10937218382574487,0.016944885396561454,0.9951275437087991,,,,,2.387507176420255e-05
29,0.10972392768503443,0.10806907802141133,0.016548496581985563,0.9956530046813796,,,,,2.061073738537634e-05
30,0.10844808270092554,0.10694946647060513,0.014986163027186503,0.9961784656539601,,,,,1.7527597583490816e-05
31,0.10737264271798147,0.1058078314665909,0.01564811194945221,0.9963695423712621,,,,,1.464466094067262e-05
32,0.1065531343711394,0.10515102574690213,0.014021087067798747,0.9967039266265405,,,,,1.1979701719998447e-05
33,0.10577081608387327,0.10436787172899988,0.014029442775107983,0.9965606190885641,,,,,9.549150281252628e-06
34,0.10507087597273432,0.10383956370072844,0.012313123170410407,0.996656157447215,,,,,7.367991782295387e-06
35,0.10487421741170802,0.10366605203646785,0.012081652918600708,0.9972771567784465,,,,,5.449673790581608e-06
36,0.10434810356127108,0.10311913553504692,0.012289679409689343,0.9970860800611445,,,,,3.806023374435661e-06
37,0.10408928006847575,0.1029069421746515,0.011823378409155708,0.9976593102130505,,,,,2.447174185242322e-06
38,0.1035423485818993,0.10243374794462502,0.011086007033744811,0.9974682334957485,,,,,1.3815039801161715e-06
39,0.10348064927475904,0.10234766437488697,0.011329849139321061,0.9974682334957485,,,,,6.155829702431167e-07
40,0.10350268190149889,0.10222680590818317,0.012758760934924517,0.9973726951370976,,,,,1.5413331334360174e-07
